service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
IDFM:1,1,1,1,1,1,0,0,20250618,20250704
IDFM:10,0,0,1,0,0,0,0,20250618,20250702
IDFM:11,1,1,0,1,1,0,0,20250619,20250704
IDFM:101,0,1,0,1,0,0,0,20250715,20250717
IDFM:1000,0,0,0,0,0,1,0,20250621,20250712
IDFM:1001,0,0,0,0,0,0,1,20250622,20250706
IDFM:1003,1,1,1,1,1,0,0,20250707,20250711
IDFM:1104,0,0,0,0,0,0,1,20250713,20250713
IDFM:1115,1,1,1,1,1,0,0,20250618,20250711
IDFM:1238,1,1,1,1,1,0,0,20250618,20250717
IDFM:1294,1,1,1,1,1,1,1,20250618,20250717
IDFM:2784,0,1,0,1,0,0,0,20250619,20250703
IDFM:7305,0,1,1,1,1,1,1,20250618,20250713
IDFM:10000,1,1,1,1,1,0,0,20250618,20250717
IDFM:10071,1,0,0,0,0,0,0,20250714,20250714
IDFM:10082,0,0,0,0,0,0,1,20250622,20250713
IDFM:10431,0,0,1,0,0,0,0,20250618,20250716
IDFM:10940,1,1,1,1,1,1,0,20250618,20250717
IDFM:11079,0,0,1,0,0,1,0,20250618,20250705
IDFM:11083,1,1,1,1,1,1,0,20250618,20250705
IDFM:11097,0,0,0,0,0,1,0,20250621,20250705
IDFM:11178,0,0,0,0,0,1,0,20250712,20250712
IDFM:11633,0,0,0,0,0,1,0,20250621,20250717
IDFM:11638,0,0,0,0,0,1,1,20250621,20250713
IDFM:12581,1,1,1,1,1,1,0,20250618,20250712
IDFM:12942,0,0,0,0,0,1,1,20250621,20250714
IDFM:13010,1,1,1,1,1,0,1,20250618,20250717
IDFM:13037,0,0,0,0,1,1,0,20250620,20250712
IDFM:15050,1,1,1,1,1,1,1,20250618,20250717
IDFM:16089,0,0,1,0,1,0,0,20250618,20250711
IDFM:16092,0,0,1,0,0,0,0,20250716,20250716
IDFM:16099,1,1,0,1,0,0,0,20250619,20250710
IDFM:16757,0,1,0,0,0,0,0,20250715,20250715
IDFM:16810,0,0,1,1,0,0,0,20250716,20250717
IDFM:16854,1,0,0,0,0,0,0,20250623,20250707
IDFM:16887,0,1,1,1,1,1,0,20250618,20250712
IDFM:17436,1,1,0,1,1,0,0,20250619,20250711
IDFM:17478,0,0,1,0,0,0,0,20250618,20250709
IDFM:21548,0,1,1,1,0,0,0,20250707,20250717
IDFM:26220,0,0,1,1,0,0,0,20250618,20250717
IDFM:30069,0,0,0,0,0,0,1,20250622,20250714
IDFM:38508,0,1,1,1,1,1,1,20250701,20250717
IDFM:38607,0,1,1,1,1,0,1,20250701,20250717
IDFM:44893,1,1,1,1,1,0,1,20250618,20250713
